dist_top, dist_bottom, dist_left, dist_right, dist_head_tail, dist_candy, move, score, result
-1, -1, -1, -1, -1, -1,2,0,1
-1, -1, -1, -1, -1, -1,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 448.1439500874691,1,0,1
851.0, 119.0, 78.0, 869.0, 79.30952023559341, 389.29680193908604,2,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 844.0290279368359,3,0,1
947.0, 23.0, 110.0, 837.0, 63.0, 770.6620530427069,0,0,1
-1, -1, -1, -1, -1, -1,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 678.1157718266107,1,0,1
851.0, 119.0, 78.0, 869.0, 79.30952023559341, 566.1377924145322,0,0,1
691.0, 279.0, 78.0, 869.0, 166.24379687675568, 472.4743379274688,1,0,1
499.0, 471.0, 78.0, 869.0, 266.0676605677586, 417.22895393296955,2,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 922.6055495172354,1,0,1
819.0, 151.0, 78.0, 869.0, 64.0, 837.5201490113536,0,0,1
595.0, 375.0, 78.0, 869.0, 64.0, 841.7885720298179,0,0,1
403.0, 567.0, 78.0, 869.0, 64.0, 891.4168497397836,2,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 339.4127281054734,1,0,1
883.0, 87.0, 46.0, 901.0, 53.9351462406472, 275.27440854536405,0,0,1
755.0, 215.0, 46.0, 901.0, 123.06502346320826, 226.27416997969522,2,0,1
-1, -1, -1, -1, -1, -1,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 691.7116451238912,0,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 799.4004003001249,0,0,1
-1, -1, -1, -1, -1, -1,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 388.3104428160541,3,0,1
947.0, 23.0, 142.0, 805.0, 79.0, 263.8787600395303,2,0,1
947.0, 23.0, 270.0, 677.0, 143.0, 143.10835055998655,2,0,1
947.0, 23.0, 430.0, 517.0, 223.0, 71.55417527999327,0,0,1
-1, -1, -1, -1, -1, -1,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 249.16059078433733,3,0,1
947.0, 23.0, 78.0, 869.0, 47.0, 204.89997559785115,2,0,1
947.0, 23.0, 206.0, 741.0, 111.0, 160.0,3,0,1
947.0, 23.0, 302.0, 645.0, 159.0, 186.59046063504962,1,0,1
883.0, 87.0, 366.0, 581.0, 173.4589288563722, 186.59046063504962,2,0,1
851.0, 119.0, 270.0, 677.0, 80.11242100947892, 90.50966799187809,0,0,1
915.0, 55.0, 206.0, 741.0, 29.154759474226502, 128.0,0,0,1
947.0, 23.0, 206.0, 741.0, -1, 160.0,3,0,0
947.0, 23.0, 15.0, 932.0, -1, -1,1,0,1
883.0, 87.0, 78.0, 869.0, 60.53924347066124, -1,1,0,1
723.0, 247.0, 78.0, 869.0, 149.33519344079613, -1,1,0,1
531.0, 439.0, 78.0, 869.0, 249.07227866625382, -1,0,0,1
371.0, 599.0, 78.0, 869.0, 331.03776219639957, -1,2,0,1
339.0, 631.0, 15.0, 932.0, 322.2623155133098, -1,1,0,1
-1, -1, -1, -1, -1, -1,1,0,0
